,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty
11,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2681,c1ccncc1,0.7319,,,,,,,-603.2164251751383 kilogram * meter ** 2 / mole / second ** 2,19.47585078878484 kilogram * meter ** 2 / mole / second ** 2,,
12,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2374,c1ccncc1,0.7626,-1.5574437636916585e-07 meter ** 3 / mole,1.6732943486530927e-08 meter ** 3 / mole,,,,,,,,
13,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7735,c1ccncc1,0.2265000000000001,,,,,,,-538.338279016898 kilogram * meter ** 2 / mole / second ** 2,17.93704371999931 kilogram * meter ** 2 / mole / second ** 2,,
14,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7678,c1ccncc1,0.2322,-1.4367028764277466e-07 meter ** 3 / mole,1.7134810673427615e-08 meter ** 3 / mole,,,,,,,,
15,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2715,Cc1ccncc1,0.7284999999999999,,,,,,,-447.6483243704424 kilogram * meter ** 2 / mole / second ** 2,18.658517830444744 kilogram * meter ** 2 / mole / second ** 2,,
16,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2655,Cc1ccncc1,0.7344999999999999,-4.9009818591576825e-08 meter ** 3 / mole,1.8595924340781183e-08 meter ** 3 / mole,,,,,,,,
17,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7827,Cc1ccncc1,0.21730000000000005,,,,,,,-338.2051792544662 kilogram * meter ** 2 / mole / second ** 2,17.57665375777405 kilogram * meter ** 2 / mole / second ** 2,,
18,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7674,Cc1ccncc1,0.2326000000000001,2.7137499289330252e-08 meter ** 3 / mole,1.6988099934119136e-08 meter ** 3 / mole,,,,,,,,
19,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.22030000000000005,CCC(=O)C,0.7797,,,,,,,73.48996332428578 kilogram * meter ** 2 / mole / second ** 2,17.229096238774567 kilogram * meter ** 2 / mole / second ** 2,,
20,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.212,CCC(=O)C,0.7879999999999999,-7.858208336996355e-07 meter ** 3 / mole,1.6909324489896126e-08 meter ** 3 / mole,,,,,,,,
21,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7615000000000001,CCC(=O)C,0.2385,,,,,,,72.29155335529504 kilogram * meter ** 2 / mole / second ** 2,17.734464348802614 kilogram * meter ** 2 / mole / second ** 2,,
22,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7340000000000001,CCC(=O)C,0.266,-6.846972269380317e-07 meter ** 3 / mole,1.9141831682689966e-08 meter ** 3 / mole,,,,,,,,
23,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2762,C1CCC(=O)CC1,0.7238,,,,,,,237.77482178493665 kilogram * meter ** 2 / mole / second ** 2,17.945985841183823 kilogram * meter ** 2 / mole / second ** 2,,
24,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2241,C1CCC(=O)CC1,0.7759,-1.1596324119003882e-07 meter ** 3 / mole,1.6528757596996313e-08 meter ** 3 / mole,,,,,,,,
25,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7569,C1CCC(=O)CC1,0.2431,,,,,,,181.87501256410906 kilogram * meter ** 2 / mole / second ** 2,18.045504229950282 kilogram * meter ** 2 / mole / second ** 2,,
26,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7218,C1CCC(=O)CC1,0.2782,-1.8055714472240813e-07 meter ** 3 / mole,1.7720885444619363e-08 meter ** 3 / mole,,,,,,,,
27,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.27780000000000005,COC=O,0.7222,7.156379016741736e-08 meter ** 3 / mole,1.8659958936809784e-08 meter ** 3 / mole,,,,,1768.9164095337474 kilogram * meter ** 2 / mole / second ** 2,16.066941302040114 kilogram * meter ** 2 / mole / second ** 2,,
28,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7127,COC=O,0.2873,,,,,,,1972.0212958609227 kilogram * meter ** 2 / mole / second ** 2,17.805435738806814 kilogram * meter ** 2 / mole / second ** 2,,
29,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7581,COC=O,0.2419,2.356686395518483e-07 meter ** 3 / mole,1.7348889065348608e-08 meter ** 3 / mole,,,,,,,,
30,303.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.25680000000000003,CC(=O)OC,0.7432,3.588029675650236e-07 meter ** 3 / mole,1.8203727142899138e-08 meter ** 3 / mole,,,,,,,,
31,318.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.2372,CC(=O)OC,0.7628,,,,,,,1486.017538377779 kilogram * meter ** 2 / mole / second ** 2,17.24993485489427 kilogram * meter ** 2 / mole / second ** 2,,
32,303.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7519,CC(=O)OC,0.2481,4.019768972029407e-07 meter ** 3 / mole,1.7673974512193072e-08 meter ** 3 / mole,,,,,,,,
33,318.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7696000000000001,CC(=O)OC,0.2304,,,,,,,1510.9637566980236 kilogram * meter ** 2 / mole / second ** 2,17.97364021096888 kilogram * meter ** 2 / mole / second ** 2,,
34,303.15 kelvin,101.325 kilopascal,2,2,C(CBr)Br,0.2077,C(=C(Cl)Cl)Cl,0.7923,-1.8097716944144744e-07 meter ** 3 / mole,1.6533583422153102e-08 meter ** 3 / mole,,,,,,,,
35,303.15 kelvin,101.325 kilopascal,2,2,C(CBr)Br,0.7903,C(=C(Cl)Cl)Cl,0.2097,-1.6207379895380794e-07 meter ** 3 / mole,1.6450992342227195e-08 meter ** 3 / mole,,,,,,,,
36,298.15 kelvin,101.3 kilopascal,2,2,C1CCOC1,0.212,C(C(F)(F)F)O,0.7879999999999999,,,,,,,-2570.359807798857 kilogram * meter ** 2 / mole / second ** 2,17.715567033296246 kilogram * meter ** 2 / mole / second ** 2,,
37,298.15 kelvin,101.3 kilopascal,2,2,C1CCOC1,0.7170000000000001,C(C(F)(F)F)O,0.28300000000000003,,,,,,,-3004.549160339171 kilogram * meter ** 2 / mole / second ** 2,18.943685944578494 kilogram * meter ** 2 / mole / second ** 2,,
38,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29705,CO,0.70295,,,,,,,-469.3532840039916 kilogram * meter ** 2 / mole / second ** 2,18.359780521343716 kilogram * meter ** 2 / mole / second ** 2,,
39,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.70985,CO,0.29015,,,,,,,-334.38016249814245 kilogram * meter ** 2 / mole / second ** 2,17.10721629060324 kilogram * meter ** 2 / mole / second ** 2,,
40,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29919,CCO,0.7008099999999999,,,,,,,-588.4196607408376 kilogram * meter ** 2 / mole / second ** 2,19.29387827946431 kilogram * meter ** 2 / mole / second ** 2,,
41,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.79638,CCO,0.20362,,,,,,,-260.07299446962134 kilogram * meter ** 2 / mole / second ** 2,17.449418418697604 kilogram * meter ** 2 / mole / second ** 2,,
42,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.20133,CCCO,0.79867,,,,,,,-430.9915362905158 kilogram * meter ** 2 / mole / second ** 2,16.844130291029707 kilogram * meter ** 2 / mole / second ** 2,,
43,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.79867,CCCO,0.20133,,,,,,,-140.3330304046831 kilogram * meter ** 2 / mole / second ** 2,16.8513714435188 kilogram * meter ** 2 / mole / second ** 2,,
44,298.15 kelvin,101.0 kilopascal,2,2,CCC#N,0.2551,C(Cl)(Cl)(Cl)Cl,0.7449,,,,,,,972.8131089620174 kilogram * meter ** 2 / mole / second ** 2,15.066046722221147 kilogram * meter ** 2 / mole / second ** 2,,
45,298.15 kelvin,101.0 kilopascal,2,2,CCC#N,0.7326,C(Cl)(Cl)(Cl)Cl,0.2674,,,,,,,727.1522835707165 kilogram * meter ** 2 / mole / second ** 2,16.185778507217275 kilogram * meter ** 2 / mole / second ** 2,,
46,298.15 kelvin,101.0 kilopascal,2,2,O,0.2554,C(CO)CO,0.7446,-1.4972955194607796e-07 meter ** 3 / mole,1.5190836246715403e-08 meter ** 3 / mole,,,,,,,,
47,298.15 kelvin,101.0 kilopascal,2,2,C(CO)CO,0.2087,O,0.7913,,,,,,,594.1086137419006 kilogram * meter ** 2 / mole / second ** 2,16.927314385208174 kilogram * meter ** 2 / mole / second ** 2,,
48,298.15 kelvin,101.0 kilopascal,2,2,O,0.7551,C(CO)CO,0.2449,-1.3284104137641968e-07 meter ** 3 / mole,1.6354011536331686e-08 meter ** 3 / mole,,,,,,,,
49,298.15 kelvin,101.0 kilopascal,2,2,C(CO)CO,0.743,O,0.257,,,,,,,406.18437793809426 kilogram * meter ** 2 / mole / second ** 2,16.2058106392779 kilogram * meter ** 2 / mole / second ** 2,,
50,298.15 kelvin,101.0 kilopascal,2,2,C(CCO)CO,0.2658,O,0.7342,,,,,,,591.9008837340807 kilogram * meter ** 2 / mole / second ** 2,17.480166559369554 kilogram * meter ** 2 / mole / second ** 2,,
51,298.15 kelvin,101.0 kilopascal,2,2,O,0.2297,C(CCO)CO,0.7703,-1.012198407911787e-07 meter ** 3 / mole,1.6598811189308176e-08 meter ** 3 / mole,,,,,,,,
52,298.15 kelvin,101.0 kilopascal,2,2,O,0.7847,C(CCO)CO,0.2153,-1.7192627293789714e-07 meter ** 3 / mole,1.6679737964994703e-08 meter ** 3 / mole,,,,,,,,
53,298.15 kelvin,101.0 kilopascal,2,2,C(CCO)CO,0.7947,O,0.20530000000000004,,,,,,,133.71116926849754 kilogram * meter ** 2 / mole / second ** 2,16.17392898196314 kilogram * meter ** 2 / mole / second ** 2,,
54,298.15 kelvin,101.0 kilopascal,2,2,CO,0.2,O,0.8,,,,,,,348.7545358779371 kilogram * meter ** 2 / mole / second ** 2,16.29137412144748 kilogram * meter ** 2 / mole / second ** 2,,
55,298.15 kelvin,100.0 kilopascal,2,2,O,0.25,CO,0.75,8.801598832714765e-08 meter ** 3 / mole,1.5803811769558996e-08 meter ** 3 / mole,,,,,,,,
56,298.15 kelvin,101.0 kilopascal,2,2,CO,0.8,O,0.2,,,,,,,225.71124889573184 kilogram * meter ** 2 / mole / second ** 2,14.615932613215083 kilogram * meter ** 2 / mole / second ** 2,,
57,298.15 kelvin,100.0 kilopascal,2,2,O,0.75,CO,0.25,1.7680784927746654e-07 meter ** 3 / mole,1.6482950256176443e-08 meter ** 3 / mole,,,,,,,,
58,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)(C(F)(F)F)O,0.205,O,0.795,8.703034201486899e-07 meter ** 3 / mole,1.8709958607715024e-08 meter ** 3 / mole,,,,,,,,
59,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)(C(F)(F)F)O,0.8065,O,0.1935,3.368847406700812e-07 meter ** 3 / mole,1.6362117193876358e-08 meter ** 3 / mole,,,,,,,,
60,298.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.2452,O,0.7548,8.708679537382702e-08 meter ** 3 / mole,1.6656000462628723e-08 meter ** 3 / mole,,,,,,,,
