,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,Density Value,Density Uncertainty
156,303.15 kelvin,101.325 kilopascal,2,1,CN(CCO)CCO,1.0,,,,,,,21.84 dimensionless,0.0 dimensionless,,,1033.056 kilogram / meter ** 3,0.0 kilogram / meter ** 3
157,303.15 kelvin,101.3 kilopascal,2,1,C(COCCOCCOCCO)O,1.0,,,,,,,19.35 dimensionless,0.0 dimensionless,,,1116.56 kilogram / meter ** 3,0.0 kilogram / meter ** 3
158,298.15 kelvin,101.325 kilopascal,2,1,c1cc(cc(c1)Br)Cl,1.0,,,,,,,,,,,1624.97 kilogram / meter ** 3,0.0 kilogram / meter ** 3
159,298.15 kelvin,101.325 kilopascal,2,1,c1ccc(c(c1)Cl)Br,1.0,,,,,,,,,,,1646.32 kilogram / meter ** 3,0.0 kilogram / meter ** 3
160,298.15 kelvin,101.0 kilopascal,2,1,C1CCS(=O)(=O)C1,1.0,,,,,,,44.0 dimensionless,0.0 dimensionless,,,1266.5 kilogram / meter ** 3,0.0 kilogram / meter ** 3
161,303.15 kelvin,101.325 kilopascal,2,1,CC(C)(CO)N,1.0,,,,,,,20.59 dimensionless,0.0 dimensionless,,,926.403 kilogram / meter ** 3,0.0 kilogram / meter ** 3
162,298.15 kelvin,101.0 kilopascal,2,1,CCCOCCO,1.0,,,,,,,11.5 dimensionless,0.0 dimensionless,,,908.19 kilogram / meter ** 3,0.0 kilogram / meter ** 3
163,298.15 kelvin,101.0 kilopascal,2,1,C(COCCOCCO)O,1.0,,,,,,,23.07 dimensionless,0.0 dimensionless,,,1119.66 kilogram / meter ** 3,0.0 kilogram / meter ** 3
164,298.15 kelvin,101.325 kilopascal,2,1,CC(=C)C(=O)OCCO,1.0,,,,,,,,,,,1067.1 kilogram / meter ** 3,0.0 kilogram / meter ** 3
165,293.15 kelvin,101.325 kilopascal,2,1,C(=O)(C(F)(F)F)O,1.0,,,,,,,,,,,1489.1 kilogram / meter ** 3,0.0 kilogram / meter ** 3
166,296.1 kelvin,101.325 kilopascal,2,1,c1cc(ccc1F)F,1.0,,,,,,,,,,,1146.0 kilogram / meter ** 3,0.0 kilogram / meter ** 3
167,296.3 kelvin,101.325 kilopascal,2,1,c1c(cc(c(c1F)F)F)F,1.0,,,,,,,,,,,1403.0 kilogram / meter ** 3,0.0 kilogram / meter ** 3
168,298.15 kelvin,101.325 kilopascal,2,1,c1cc[nH]c1,1.0,,,,,,,,,,,965.95 kilogram / meter ** 3,0.0 kilogram / meter ** 3
169,298.15 kelvin,101.0 kilopascal,2,1,C1CC(=O)OC1,1.0,,,,,,,41.64 dimensionless,0.0 dimensionless,,,1124.5 kilogram / meter ** 3,0.0 kilogram / meter ** 3
170,298.15 kelvin,101.325 kilopascal,2,1,C(CBr)Cl,1.0,,,,,,,,,,,1727.88 kilogram / meter ** 3,0.0 kilogram / meter ** 3
171,298.15 kelvin,101.325 kilopascal,2,1,C(CCl)CBr,1.0,,,,,,,,,,,1588.17 kilogram / meter ** 3,0.0 kilogram / meter ** 3
172,298.15 kelvin,101.325 kilopascal,2,1,C(CCBr)CCl,1.0,,,,,,,,,,,1485.12 kilogram / meter ** 3,0.0 kilogram / meter ** 3
173,293.2195 kelvin,100.049 kilopascal,2,1,C(C(F)(F)F)F,1.0,,,,,,,,,,,4.27519 kilogram / meter ** 3,0.0 kilogram / meter ** 3
